項次,公司中文全名,型號,冷氣季節性能因數CSPF標示值,能源效率等級,額定冷氣能力標示值(kW),額定冷氣能力消耗電功率標示值(kW),冷氣機機組構成方式
1,三能科技有限公司,SLME-15VRV,5.45,1,15.00,3.33,幹管型系列組合分離式
2,三越冷氣有限公司,MAO-41C,5.38,1,4.20,1.20,一對一分離式
3,三越冷氣有限公司,MAO-50C,5.38,1,0.47,1.29,一對一分離式
4,三越冷氣有限公司,MAO-72C,5.13,1,7.40,2.20,一對一分離式
5,三越冷氣有限公司,MAO-28C,5.94,1,2.80,0.67,一對一分離式
6,上加電器有限公司,KU-112VTH,5.04,1,11.20,3.30,一對一分離式
7,上加電器有限公司,KU-112VT,5.04,1,11.20,3.30,一對一分離式
8,上加電器有限公司,KU-85VTH,5.12,1,8.50,2.50,一對一分離式
9,上加電器有限公司,KU-142VTH,5.04,1,14.00,4.40,一對一分離式
10,上加電器有限公司,KU-R72VDH-SKY,5.12,1,7.20,2.29,一對一分離式
11,上加電器有限公司,KU-R36VDH-SKY,5.94,1,3.60,0.89,一對一分離式
12,上加電器有限公司,KU-R63VDH-SKY,5.36,1,6.30,1.70,一對一分離式
13,上加電器有限公司,KU-41VT,5.36,1,4.10,1.06,一對一分離式
14,上加電器有限公司,KU-41VHS,5.35,1,4.10,1.12,一對一分離式
15,上加電器有限公司,KU-R50VDH-SKY,5.35,1,5.00,1.39,一對一分離式
16,上加電器有限公司,KU-R50VDH,5.34,1,5.00,1.22,一對一分離式
17,上加電器有限公司,KU-28VTH,5.94,1,2.80,0.73,一對一分離式
18,上加電器有限公司,KU-36VHS,5.95,1,3.60,0.95,一對一分離式
19,上加電器有限公司,KU-28VHS,5.94,1,2.80,0.65,一對一分離式
20,上加電器有限公司,KU-R65VDH,5.35,1,6.50,1.75,一對一分離式
21,上加電器有限公司,KU-100VHS,5.04,1,10.10,3.45,一對一分離式
22,上加電器有限公司,KU-50VHS,5.34,1,5.00,1.32,一對一分離式
23,上加電器有限公司,KU-72VHS,5.12,1,7.20,2.10,一對一分離式
24,上加電器有限公司,KU-R28VDH-SKY,5.94,1,2.80,0.67,一對一分離式
25,上加電器有限公司,KU-28VT,5.94,1,2.80,0.73,一對一分離式
26,上加電器有限公司,KU-R42VDH,5.34,1,4.20,1.07,一對一分離式
27,上加電器有限公司,KU-142VT,5.04,1,14.00,4.40,一對一分離式
28,上加電器有限公司,KU-85VT,5.12,1,8.50,2.50,一對一分離式
29,上加電器有限公司,KU-65VT,5.35,1,6.50,1.77,一對一分離式
30,上加電器有限公司,KU-72VT,5.36,1,7.20,2.06,一對一分離式
31,上加電器有限公司,KU-28VTG,5.94,1,2.80,0.73,一對一分離式
32,上加電器有限公司,KU-R50SKY3,5.38,1,5.00,1.40,一對一分離式
33,上加電器有限公司,KU-85VHS,5.14,1,8.50,2.60,一對一分離式
34,上加電器有限公司,KU-28VTGH,5.94,1,2.80,0.73,一對一分離式
35,上加電器有限公司,KU-80VHS,5.12,1,8.00,2.35,一對一分離式
36,上加電器有限公司,KU-R80VDH,5.14,1,8.00,2.28,一對一分離式
37,上加電器有限公司,KU-90VHS,5.12,1,9.00,2.70,一對一分離式
38,上加電器有限公司,KU-65VTH,5.35,1,6.50,1.77,一對一分離式
39,上加電器有限公司,KU-R72VDH,5.15,1,7.20,2.05,一對一分離式
40,上加電器有限公司,KU-50VT,5.34,1,5.00,1.29,一對一分離式
41,上加電器有限公司,KU-R42VDH-SKY,5.68,1,4.20,1.05,一對一分離式
42,上洋產業股份有限公司,FDC224KXZPE1T3,5.68,1,22.40,5.68,幹管型系列組合分離式
43,上洋產業股份有限公司,FDC280KXZPE1T3,5.16,1,28.00,8.04,幹管型系列組合分離式
44,上洋產業股份有限公司,DXC50ZSXT-W,5.92,1,5.00,1.24,一對一分離式
45,上洋產業股份有限公司,DXC100VNPT-S,5.15,1,10.00,3.09,一對一分離式
46,上洋產業股份有限公司,DXC63ZRT-W,5.74,1,6.30,1.63,一對一分離式
47,上洋產業股份有限公司,DXC41ZST-W,5.89,1,4.10,0.97,一對一分離式
48,上洋產業股份有限公司,FDC71VNXT,5.56,1,7.20,1.94,一對一分離式
49,上洋產業股份有限公司,DXC80ZRT-S,5.19,1,8.00,2.35,一對一分離式
50,上洋產業股份有限公司,FDC100VNPT-W,5.47,1,9.00,2.75,一對一分離式
51,上洋產業股份有限公司,DXC25ZMXT-S,7.09,1,2.50,0.49,一對一分離式
