brand,series,type,power,cool_kw,cspf,cert_no
台光電,HD,ACV-085HD,1951,8.5,5.18,ACN-106-3327
台光電,,ACV-028P,546,2.8,6.09,ACN-108-1032
台光電,HD,ACV-036HD,721,3.6,5.94,ACN-105-1435
台光電,AF,ACV-041AF,896,4.1,5.44,ACN-106-3320
台光電,SG,ACV-0112SG,2646,11.2,5.03,ACN-109-1096
台光電,AF,ACV-063AFH,1404,6.3,5.33,ACN-106-3323
台光電,SG,ACV-0112SG-H,2646,11.2,5.03,ACN-109-1095
台光電,AF,ACV-036AFH,719,3.6,5.95,ACN-106-3317
台光電,AF,ACV-063AF,1404,6.3,5.33,ACN-106-3324
台光電,HD,ACM-050HD,1159,5.2,5.33,ACN-107-1446
台光電,HD,ACM-072HD,1720,7.4,5.11,ACN-107-1444
台光電,AF,ACV-036AF,719,3.6,5.95,ACN-106-3318
台光電,SG,ACV-0140SG-H,3289,14,5.06,ACN-109-1097
台光電,RN,ACV-042RN,916,4.2,5.45,ACN-109-0681
台光電,RN,ACV-050RN,1012,5,5.87,ACN-109-0682
台光電,AF,ACV-041AFH,896,4.1,5.44,ACN-106-3319
台光電,,ACV-072P,1664,7.2,5.14,ACN-108-1035
台光電,RN,ACV-073RN,1574,7.3,5.51,ACN-109-0765
台光電,,ACV-050P,1105,5,5.38,ACN-108-1034
台光電,RN,ACV-038RN,752,3.8,6.01,ACN-109-0680
台光電,SG,ACV-0160SG,3728,16,5.1,ACN-109-1094
台光電,SG,ACV-0101SG-H,2363,10.1,5.08,ACN-109-1092
台光電,HD,ACV-072HD,1670,7.2,5.12,ACN-106-0117
台光電,AF,ACV-050AF,1114,5,5.33,ACN-106-3322
台光電,RN,ACV-028RN,552,2.8,6.02,ACN-109-0679
台光電,,ACV-090P,2091,9,5.11,ACN-108-1146
台光電,AF,ACV-028AF-C,549,2.8,6.06,ACN-106-3316
台光電,AF,ACV-072AFH,1673,7.2,5.11,ACN-106-3325
台光電,RN,ACV-085RN,1895,8.5,5.33,ACN-109-1004
台光電,,ACV-041P,895,4.1,5.44,ACN-108-1033
台光電,,ACV-083P,1930,8.3,5.11,ACN-108-1145
